150
0 34 43 9 25 50 28 12 50 10 16 33 6 45 47 37 50 39 29 28 37 19 41 49 24 20 6 46 43 12 21 45 50 10 33 8 44 5 46 41 50 43 28 10 42 21 19 24 31 7 20 46 43 11 17 33 39 17 35 44 17 17 33 23 27 13 23 17 46 48 17 21 50 14 30 11 28 12 41 26 16 31 34 10 25 15 38 45 14 10 35 30 23 17 5 46 17 7 7 46 22 6 44 14 26 7 47 38 18 15 34 35 31 26 37 16 32 45 17 50 38 45 28 47 8 5 43 9 49 36 21 36 29 37 8 15 30 33 41 7 12 33 40 16 10 43 26 27 48 47 
34 0 25 34 16 39 30 36 26 15 23 28 24 35 37 23 26 32 8 35 16 24 32 10 16 19 6 50 10 20 49 15 17 48 6 6 46 35 32 25 22 21 42 33 42 43 38 13 25 36 50 44 31 18 20 35 43 6 21 13 18 16 42 38 6 28 11 25 44 14 48 46 27 19 11 35 30 32 50 28 44 21 31 32 40 46 48 12 33 25 10 23 11 48 49 33 16 16 42 45 22 26 37 32 41 27 30 38 29 42 15 6 44 15 6 23 34 6 38 11 7 33 35 8 17 40 41 43 49 8 12 34 39 27 43 15 25 38 35 26 10 34 12 20 39 19 32 22 34 9 
43 25 0 37 23 40 21 17 25 28 24 23 19 14 47 34 39 26 5 47 18 48 28 30 46 32 47 15 36 23 25 35 22 19 40 16 19 12 24 36 17 10 30 18 5 19 22 10 39 7 48 33 33 46 31 37 23 16 45 5 9 25 38 8 24 26 10 15 42 34 42 10 10 47 14 41 28 29 24 28 16 26 36 23 12 13 18 24 40 28 39 8 42 17 48 37 16 47 15 36 16 10 13 35 31 43 31 19 13 31 43 22 23 32 41 45 25 13 21 43 12 26 17 35 45 5 50 15 29 20 19 7 6 13 43 23 39 9 35 46 39 50 33 21 32 43 39 38 35 19 
9 34 37 0 28 12 9 43 31 18 28 24 11 9 39 49 31 8 18 9 44 37 37 23 17 12 15 32 35 14 18 22 5 7 42 44 33 32 14 17 18 36 7 15 20 39 14 44 41 16 35 25 20 33 16 22 30 24 13 20 19 13 7 28 17 26 19 23 10 30 9 32 43 38 5 35 50 16 33 17 5 15 18 49 34 50 46 33 43 16 29 27 23 39 7 25 34 43 35 21 17 7 35 7 27 27 50 32 45 11 49 31 34 5 12 35 30 26 31 50 12 49 31 34 35 47 10 18 19 16 14 36 17 43 35 48 37 47 35 22 43 30 49 28 39 27 10 41 38 12 
25 16 23 28 0 6 27 47 35 30 42 46 13 48 6 10 24 33 35 9 19 31 36 18 43 20 11 39 25 10 26 21 30 42 39 36 11 45 20 22 19 38 17 18 42 17 30 5 35 21 31 29 6 23 37 50 21 38 36 32 35 48 45 29 46 44 40 31 50 49 23 46 10 5 9 28 17 23 41 28 17 25 47 42 45 42 16 21 29 12 50 14 9 17 44 5 8 38 18 35 45 12 21 13 37 42 14 9 47 39 30 17 39 24 24 10 13 23 50 44 19 35 14 47 34 19 49 31 48 20 15 37 38 36 23 7 38 41 37 25 25 14 50 43 25 35 11 24 23 49 
50 39 40 12 6 0 16 50 38 12 18 37 27 42 29 38 41 47 38 41 28 24 10 14 9 7 46 49 35 17 11 28 17 41 5 10 31 39 21 10 44 43 16 31 24 48 10 42 15 32 49 45 29 44 5 39 20 42 28 6 44 43 27 18 36 30 47 38 22 37 47 24 8 16 15 42 43 24 37 23 23 30 31 37 33 19 49 5 41 33 39 42 46 43 25 37 45 41 12 50 13 15 7 34 49 24 21 49 10 45 12 50 15 47 7 6 33 13 20 39 42 45 38 18 14 16 45 33 41 14 50 45 50 37 29 38 47 37 5 29 24 42 32 25 39 14 16 33 41 48 
28 30 21 9 27 16 0 24 25 45 12 6 21 31 34 43 49 30 49 36 42 21 35 14 48 26 44 15 46 43 9 22 39 9 34 25 27 25 31 42 30 33 33 34 41 24 8 32 36 46 27 44 8 9 41 43 10 11 35 27 8 27 9 11 15 30 43 36 49 26 30 47 13 29 9 7 6 6 9 41 22 16 18 25 28 49 33 43 24 36 12 13 42 50 19 38 23 14 46 16 28 12 23 16 10 32 8 31 48 17 5 47 7 8 49 37 33 40 11 15 46 10 17 29 37 34 9 34 24 49 15 37 37 8 6 46 25 48 10 47 37 39 47 14 49 28 26 48 39 28 
12 36 17 43 47 50 24 0 43 20 50 50 18 26 41 46 28 43 15 11 16 30 32 42 37 12 47 49 40 17 26 25 47 47 18 16 7 19 32 22 17 6 31 6 36 25 34 35 42 16 5 18 30 50 20 11 21 6 21 33 15 6 27 42 5 16 44 38 35 38 13 38 28 18 47 34 36 14 30 8 10 46 5 11 13 10 38 40 19 36 32 50 18 8 42 26 26 50 47 8 9 38 29 38 20 21 34 20 40 9 9 42 40 39 16 12 37 21 18 6 36 41 45 35 45 45 33 47 33 47 26 25 35 30 20 9 10 50 17 15 6 37 14 11 8 8 20 33 29 42 
50 26 25 31 35 38 25 43 0 34 31 31 28 18 8 33 35 49 5 18 20 41 39 12 46 9 47 20 16 43 48 7 14 21 32 29 10 41 7 29 48 47 16 30 48 42 20 19 48 48 47 10 31 37 37 14 37 47 14 45 13 30 43 13 5 11 31 39 47 6 20 33 18 26 25 42 7 13 38 22 43 7 20 25 37 38 47 24 16 42 33 15 28 27 39 42 14 19 16 48 20 45 43 24 19 9 26 16 15 5 5 26 14 44 41 31 20 34 21 49 29 35 49 32 26 18 48 40 16 27 13 37 17 30 9 24 10 28 16 30 49 15 38 19 11 44 28 44 34 40 
10 15 28 18 30 12 45 20 34 0 7 11 11 34 45 16 30 14 29 13 7 50 35 12 28 22 24 46 40 16 39 15 5 30 46 19 46 45 42 27 5 49 45 24 44 11 25 34 6 43 45 35 28 27 23 23 38 7 9 37 36 38 36 40 39 11 14 17 39 30 34 28 22 40 44 26 33 7 29 30 31 26 20 46 29 17 15 19 42 45 31 11 29 30 12 7 43 32 37 30 9 33 12 15 37 23 11 16 46 32 15 45 39 8 23 36 13 35 26 47 11 45 23 18 38 30 19 29 35 43 41 19 41 18 38 18 25 8 50 5 26 11 27 13 38 45 16 49 9 48 
